T_max,Max,T_min,Min
        0.0870075226,12.817383,        0.0896431208,-13.885498
        2.9166216850,53.314209,        2.9983510971,-44.342041
        4.1859536171,126.464844,        3.9516376257,-92.636108
        6.0410234928,124.984741,        5.4535241127,-87.844849
        7.1731165648,106.613159,        7.3960206509,-101.013184
        8.7189950943,113.235474,        8.3860116005,-75.866699
       10.1673861742,138.504028,        9.8222206831,-78.826904
       11.7964271307,147.674561,       11.1844055653,-129.974365
       12.9719735384,118.377686,       13.0884040594,-109.512329
       14.4251395464,135.787964,       14.5018091202,-130.020142
       15.7718746662,120.834351,       15.3742647171,-130.737305
       17.1566101313,140.792847,       17.2964155674,-116.271973
       18.5810660124,139.892578,       18.7143942118,-102.676392
       20.2500851154,124.069214,       20.1619890928,-115.158081
       21.2768045664,106.781006,       21.5578061342,-133.422852
       23.0617686510,131.729126,       22.9662680626,-131.729126
       24.4627366066,136.749268,       24.3750860691,-118.026733
       25.8439846039,171.035767,       25.7216291428,-91.445923
       26.9468625784,116.165161,       27.0904660225,-107.910156
       28.3275605440,142.745972,       28.4260270596,-123.870850
       29.8420646191,124.572754,       29.7464070320,-157.394409
       30.8897526264,133.117676,       31.0595791340,-101.516724
       32.4694396257,142.761230,       32.3735231161,-154.342651
       33.8155345917,160.995483,       33.7094845772,-145.278931
       34.7919660807,117.965698,       34.5568361282,-128.356934
       36.2438911200,121.063232,       36.3938475847,-140.548706
       37.6250160933,96.725464,       37.7175900936,-152.618408
       39.1307926178,132.644653,       39.0427485704,-127.212524
       40.0534061193,115.280151,       39.8508540392,-124.557495
       41.6932290792,132.431030,       41.5978890657,-108.535767
       42.8083530664,116.973877,       42.4233261347,-112.045288
       44.0051336288,101.287842,       44.2607555389,-110.824585
