T_max_accel_y,Max_accel_y,T_min_accel_y,Min_accel_y,T_max_gyro_y,Max_gyro_y,T_min_gyro_y,Min_gyro_y
        2.5369961262,2.616028,        2.5574830770,3.428650,        2.5472694635,326.507568,        2.5421690941,-260.772705
        4.7378319502,3.275757,        4.7859215736,0.321899,        4.5431205034,87.173462,        4.0253491402,-87.310791
        7.0465691090,3.068481,        7.0736390352,0.132385,        6.6232370138,88.714600,        6.4929695129,-87.478638
        9.2439235449,4.779236,        9.2732150555,-0.437988,        9.1559220552,95.443726,        8.7193779945,-101.242065
       11.5042190552,2.353271,       11.5334460735,0.839722,       11.2575390339,77.529907,       10.8341230154,-84.609985
       13.7527370453,4.297852,       13.7818225622,-0.011719,       13.6625859737,77.209473,       13.1651555300,-66.970825
       15.9716204405,2.700989,       16.0218900442,0.680786,       15.8863995075,87.493896,       15.4326065779,-58.456421
       18.3188589811,2.357300,       18.3559805155,0.509399,       18.2816820145,89.218140,       17.7283066511,-81.283569
       20.4411776066,5.698608,       20.4698350430,0.083496,       20.0319740772,76.278687,       19.8821005821,-84.197998
