P_t,P_x,T_t,T_p
        0.6886954308,132.904053,        0.4408429861,-59.219360
        1.4562214613,-24.322510,        1.1414159536,-75.729370
        2.2093024254,261.520386,        1.9069728851,-162.963867
        2.7332800627,-29.998779,        2.5286685228,-124.649048
        3.5439695120,270.355225,        3.2400715351,-157.318115
        4.0443789959,-39.672852,        3.8441798687,-125.091553
        4.8440635204,281.524658,        4.5380280018,-166.213989
        5.3019624949,-28.778076,        5.1060039997,-129.028320
        6.1326804161,277.404785,        5.8208440542,-164.138794
        6.6095243692,-30.395508,        6.3780134916,-155.700684
        7.3992869854,274.353027,        7.1110504866,-163.116455
        7.6210730076,-55.786133,        7.5994935036,-107.025146
        7.9896769524,-31.372070,        7.6769094467,-137.268066
        8.6089110374,264.923096,        8.3501869440,-171.035767
        9.1152824163,-38.436890,        8.8833465576,-122.375488
        9.8462644815,271.087646,        9.5600744486,-145.309448
       10.0540505648,-56.671143,       10.0405474901,-110.427856
       10.3021218777,-27.877808,       10.1076279879,-136.413574
       11.0704543591,271.438599,       10.8082170486,-173.278809
       11.3029705286,-41.824341,       11.2716494799,-106.246948
       11.5743510723,-41.152954,       11.3537623882,-116.302490
       12.3544985056,262.039185,       12.0339169502,-164.733887
       12.5650730133,-46.569824,       12.5439169407,-105.102539
       12.8318459988,-38.864136,       12.6213569641,-136.123657
       13.5942825079,281.616211,       13.2953065634,-168.289185
       13.7996329069,-51.635742,       13.7838044167,-104.873657
       14.1326714754,-37.231445,       13.8532264233,-137.435913
       14.8216584921,262.100220,       14.5251554251,-163.528442
       15.0424559116,-38.726807,       15.0217164755,-90.362549
       15.4248514175,-39.047241,       15.0880019665,-110.549927
       16.0677834749,262.451172,       15.7836614847,-166.976929
       16.2868199348,-71.517944,       16.2683390379,-121.597290
       16.5367269516,-28.289795,       16.3293960094,-127.807617
       17.2835578918,265.274048,       16.9980995655,-178.985596
       17.5287500620,-53.070068,       17.4965389967,-110.794067
       17.7760519981,-36.529541,       17.5971834660,-119.354248
       18.5239664316,277.664185,       18.2250554562,-170.761108
       19.0191594362,-31.005859,       18.7980074883,-118.087769
       19.7716214657,291.290283,       19.4642044306,-158.752441
       20.2488859892,-36.651611,       20.0332009792,-119.857788
       21.0226269960,276.321411,       20.7127975225,-165.740967
       21.5157533884,-35.430908,       21.3107614517,-128.021240
       22.3275994062,276.977539,       21.9998260736,-159.774780
       22.8044730425,-38.940430,       22.5531369448,-122.024536
       23.5823614597,263.610840,       23.2568724155,-168.441772
       24.0677745342,-35.018921,       23.8524789810,-103.042603
       24.8836275339,248.092651,       24.5877230167,-140.472412
,,,       25.1338299513,-86.410522
